,0
0,0.0614
1,0.2037
2,0.1121
3,0.2247
4,0.1242
5,0.0835
6,0.0991
7,0.0183
8,0.1293
9,0.2416
10,0.2371
11,0.238
12,0.005
13,0.1925
14,0.2298
15,0.2205
16,0.0363
17,0.2013
18,0.1861
19,0.2338
20,0.052
21,0.1975
22,0.0886
23,0.2374
24,0.0243
25,0.2038
26,0.2259
27,0.0836
28,0.2399
29,0.2284
30,0.0604
31,0.1856
32,0.2271
33,0.0173
34,0.227
35,0.1542
36,0.173
37,0.1272
38,0.2331
39,0.2063
40,0.1028
41,0.2081
42,0.2345
43,0.164
44,0.1803
45,0.22
46,0.223
47,0.0933
48,0.2361
49,0.092
50,0.16
51,0.237
52,0.0714
53,0.2239
54,0.2341
55,0.2166
56,0.1359
57,0.2392
58,0.1006
59,0.235
60,0.1669
61,0.2132
62,0.2262
63,0.111
64,0.219
65,0.2414
66,0.029
67,0.2381
68,0.1703
69,0.167
70,0.2411
71,0.1495
72,0.2224
73,0.2291
74,0.2265
75,0.2336
76,0.2274
77,0.1345
78,0.1701
79,0.2397
80,0.2267
81,0.2283
82,0.1015
83,0.2394
84,0.0079
85,0.2285
86,0.2395
87,0.0879
88,0.0568
89,0.2341
90,0.236
91,0.1062
92,0.2222
93,0.1568
94,0.2383
95,0.188
96,0.1261
97,0.2396
98,0.2378
99,0.0271
100,0.0197
101,0.2403
102,0.2397
103,0.1296
104,0.072
105,0.2408
106,0.2381
107,0.0303
108,0.1333
109,0.2411
110,0.2379
111,0.0521
112,0.0536
113,0.2393
114,0.2405
115,0.1144
116,0.2327
117,0.214
118,0.0676
119,0.2331
120,0.217
121,0.1889
122,0.1782
123,0.2301
124,0.233
125,0.0415
126,0.2392
127,0.1286
128,0.2388
129,0.2348
130,0.0733
131,0.2363
132,0.2375
133,0.1916
134,0.2083
135,0.2391
136,0.2373
137,0.2242
138,0.103
139,0.2304
140,0.2335
141,0.057
142,0.1934
143,0.2069
144,0.2399
145,0.0589
146,0.2303
147,0.1772
148,0.2227
149,0.2245
150,0.2291
151,0.204
152,0.2418
153,0.2314
154,0.2386
155,0.2183
156,0.2371
157,0.205
158,0.2366
159,0.1066
160,0.2233
161,0.1852
162,0.2341
163,0.038
164,0.142
165,0.2348
166,0.1629
167,0.2412
168,0.2184
169,0.1832
170,0.2311
171,0.2295
172,0.1962
173,0.2341
174,0.0494
175,0.1316
176,0.2356
177,0.2362
178,0.0587
179,0.1479
